OMRKK;OPFØRELSESÅR;ENHED;TID;INDHOLD
København i alt;1850-1899;Antal bygninger;1991;6332
København i alt;1850-1899;Antal bygninger;1992;6312
København i alt;1850-1899;Antal bygninger;1995;6240
København i alt;1850-1899;Antal bygninger;1996;6232
København i alt;1850-1899;Antal bygninger;1997;6217
København i alt;1850-1899;Antal bygninger;2001;6128
København i alt;1850-1899;Antal bygninger;2002;6123
København i alt;1850-1899;Antal bygninger;2003;6094
København i alt;1850-1899;Antal bygninger;2004;6077
København i alt;1850-1899;Antal bygninger;2005;5991
København i alt;1850-1899;Antal bygninger;2006;5988
København i alt;1850-1899;Antal bygninger;2007;5945
København i alt;1850-1899;Antal bygninger;2008;5929
København i alt;1850-1899;Antal bygninger;2009;5908
København i alt;1850-1899;Antal bygninger;2010;5898
København i alt;1850-1899;Antal bygninger;2011;5887
København i alt;1850-1899;Antal bygninger;2012;5851
København i alt;1850-1899;Antal bygninger;2013;5848
København i alt;1850-1899;Antal bygninger;2014;5862
København i alt;1850-1899;Antal bygninger;2015;5851
København i alt;1850-1899;Antal bygninger;2016;5857
København i alt;1850-1899;Antal bygninger;2017;5857
København i alt;1850-1899;Antal bygninger;2018;5815
København i alt;1850-1899;Antal bygninger;2019;5799
København i alt;1850-1899;Antal bygninger;2020;5797
København i alt;1850-1899;Antal bygninger;2021;5791
København i alt;1850-1899;Antal bygninger;2022;5780
København i alt;1850-1899;Antal bygninger;2023;5767
Bydel - Indre By;1850-1899;Antal bygninger;1991;2246
Bydel - Indre By;1850-1899;Antal bygninger;1992;2237
Bydel - Indre By;1850-1899;Antal bygninger;1995;2238
Bydel - Indre By;1850-1899;Antal bygninger;1996;2233
Bydel - Indre By;1850-1899;Antal bygninger;1997;2220
Bydel - Indre By;1850-1899;Antal bygninger;2001;2208
Bydel - Indre By;1850-1899;Antal bygninger;2002;2220
Bydel - Indre By;1850-1899;Antal bygninger;2003;2213
Bydel - Indre By;1850-1899;Antal bygninger;2004;2214
Bydel - Indre By;1850-1899;Antal bygninger;2005;2181
Bydel - Indre By;1850-1899;Antal bygninger;2006;2231
Bydel - Indre By;1850-1899;Antal bygninger;2007;2209
Bydel - Indre By;1850-1899;Antal bygninger;2008;2206
Bydel - Indre By;1850-1899;Antal bygninger;2009;2201
Bydel - Indre By;1850-1899;Antal bygninger;2010;2198
Bydel - Indre By;1850-1899;Antal bygninger;2011;2194
Bydel - Indre By;1850-1899;Antal bygninger;2012;2182
Bydel - Indre By;1850-1899;Antal bygninger;2013;2187
Bydel - Indre By;1850-1899;Antal bygninger;2014;2189
Bydel - Indre By;1850-1899;Antal bygninger;2015;2188
Bydel - Indre By;1850-1899;Antal bygninger;2016;2194
Bydel - Indre By;1850-1899;Antal bygninger;2017;2204
Bydel - Indre By;1850-1899;Antal bygninger;2018;2193
Bydel - Indre By;1850-1899;Antal bygninger;2019;2189
Bydel - Indre By;1850-1899;Antal bygninger;2020;2190
Bydel - Indre By;1850-1899;Antal bygninger;2021;2190
Bydel - Indre By;1850-1899;Antal bygninger;2022;2192
Bydel - Indre By;1850-1899;Antal bygninger;2023;2191
Bydel - Østerbro;1850-1899;Antal bygninger;1991;1015
Bydel - Østerbro;1850-1899;Antal bygninger;1992;1017
Bydel - Østerbro;1850-1899;Antal bygninger;1995;1028
Bydel - Østerbro;1850-1899;Antal bygninger;1996;1023
Bydel - Østerbro;1850-1899;Antal bygninger;1997;1019
Bydel - Østerbro;1850-1899;Antal bygninger;2001;1026
Bydel - Østerbro;1850-1899;Antal bygninger;2002;1018
Bydel - Østerbro;1850-1899;Antal bygninger;2003;1016
Bydel - Østerbro;1850-1899;Antal bygninger;2004;1009
Bydel - Østerbro;1850-1899;Antal bygninger;2005;1005
Bydel - Østerbro;1850-1899;Antal bygninger;2006;989
Bydel - Østerbro;1850-1899;Antal bygninger;2007;986
Bydel - Østerbro;1850-1899;Antal bygninger;2008;984
Bydel - Østerbro;1850-1899;Antal bygninger;2009;983
Bydel - Østerbro;1850-1899;Antal bygninger;2010;982
Bydel - Østerbro;1850-1899;Antal bygninger;2011;979
Bydel - Østerbro;1850-1899;Antal bygninger;2012;964
Bydel - Østerbro;1850-1899;Antal bygninger;2013;967
Bydel - Østerbro;1850-1899;Antal bygninger;2014;975
Bydel - Østerbro;1850-1899;Antal bygninger;2015;973
Bydel - Østerbro;1850-1899;Antal bygninger;2016;974
Bydel - Østerbro;1850-1899;Antal bygninger;2017;970
Bydel - Østerbro;1850-1899;Antal bygninger;2018;951
Bydel - Østerbro;1850-1899;Antal bygninger;2019;949
Bydel - Østerbro;1850-1899;Antal bygninger;2020;958
Bydel - Østerbro;1850-1899;Antal bygninger;2021;957
Bydel - Østerbro;1850-1899;Antal bygninger;2022;945
Bydel - Østerbro;1850-1899;Antal bygninger;2023;945
Bydel - Nørrebro;1850-1899;Antal bygninger;1991;855
