OMRKK;OPFØRELSESÅR;ENHED;TID;INDHOLD
København i alt;Før 1850;Antal bygninger;1991;1653
København i alt;Før 1850;Antal bygninger;1992;1652
København i alt;Før 1850;Antal bygninger;1995;1654
København i alt;Før 1850;Antal bygninger;1996;1649
København i alt;Før 1850;Antal bygninger;1997;1649
København i alt;Før 1850;Antal bygninger;2001;1653
København i alt;Før 1850;Antal bygninger;2002;1653
København i alt;Før 1850;Antal bygninger;2003;1638
København i alt;Før 1850;Antal bygninger;2004;1635
København i alt;Før 1850;Antal bygninger;2005;1633
København i alt;Før 1850;Antal bygninger;2006;1646
København i alt;Før 1850;Antal bygninger;2007;1645
København i alt;Før 1850;Antal bygninger;2008;1661
København i alt;Før 1850;Antal bygninger;2009;1662
København i alt;Før 1850;Antal bygninger;2010;1661
København i alt;Før 1850;Antal bygninger;2011;1665
København i alt;Før 1850;Antal bygninger;2012;1568
København i alt;Før 1850;Antal bygninger;2013;1614
København i alt;Før 1850;Antal bygninger;2014;1671
København i alt;Før 1850;Antal bygninger;2015;1682
København i alt;Før 1850;Antal bygninger;2016;1670
København i alt;Før 1850;Antal bygninger;2017;1679
København i alt;Før 1850;Antal bygninger;2018;6042
København i alt;Før 1850;Antal bygninger;2019;6161
København i alt;Før 1850;Antal bygninger;2020;6196
København i alt;Før 1850;Antal bygninger;2021;6183
København i alt;Før 1850;Antal bygninger;2022;6194
København i alt;Før 1850;Antal bygninger;2023;6145
Bydel - Indre By;Før 1850;Antal bygninger;1991;1609
Bydel - Indre By;Før 1850;Antal bygninger;1992;1610
Bydel - Indre By;Før 1850;Antal bygninger;1995;1612
Bydel - Indre By;Før 1850;Antal bygninger;1996;1604
Bydel - Indre By;Før 1850;Antal bygninger;1997;1603
Bydel - Indre By;Før 1850;Antal bygninger;2001;1607
Bydel - Indre By;Før 1850;Antal bygninger;2002;1606
Bydel - Indre By;Før 1850;Antal bygninger;2003;1591
Bydel - Indre By;Før 1850;Antal bygninger;2004;1588
Bydel - Indre By;Før 1850;Antal bygninger;2005;1586
Bydel - Indre By;Før 1850;Antal bygninger;2006;1600
Bydel - Indre By;Før 1850;Antal bygninger;2007;1599
Bydel - Indre By;Før 1850;Antal bygninger;2008;1615
Bydel - Indre By;Før 1850;Antal bygninger;2009;1617
Bydel - Indre By;Før 1850;Antal bygninger;2010;1616
Bydel - Indre By;Før 1850;Antal bygninger;2011;1620
Bydel - Indre By;Før 1850;Antal bygninger;2012;1525
Bydel - Indre By;Før 1850;Antal bygninger;2013;1573
Bydel - Indre By;Før 1850;Antal bygninger;2014;1630
Bydel - Indre By;Før 1850;Antal bygninger;2015;1641
Bydel - Indre By;Før 1850;Antal bygninger;2016;1631
Bydel - Indre By;Før 1850;Antal bygninger;2017;1641
Bydel - Indre By;Før 1850;Antal bygninger;2018;1628
Bydel - Indre By;Før 1850;Antal bygninger;2019;1633
Bydel - Indre By;Før 1850;Antal bygninger;2020;1640
Bydel - Indre By;Før 1850;Antal bygninger;2021;1642
Bydel - Indre By;Før 1850;Antal bygninger;2022;1641
Bydel - Indre By;Før 1850;Antal bygninger;2023;1642
Bydel - Østerbro;Før 1850;Antal bygninger;1991;3
Bydel - Østerbro;Før 1850;Antal bygninger;1992;3
Bydel - Østerbro;Før 1850;Antal bygninger;1995;2
Bydel - Østerbro;Før 1850;Antal bygninger;1996;3
Bydel - Østerbro;Før 1850;Antal bygninger;1997;3
Bydel - Østerbro;Før 1850;Antal bygninger;2001;3
Bydel - Østerbro;Før 1850;Antal bygninger;2002;3
Bydel - Østerbro;Før 1850;Antal bygninger;2003;3
Bydel - Østerbro;Før 1850;Antal bygninger;2004;3
Bydel - Østerbro;Før 1850;Antal bygninger;2005;3
Bydel - Østerbro;Før 1850;Antal bygninger;2006;3
Bydel - Østerbro;Før 1850;Antal bygninger;2007;3
Bydel - Østerbro;Før 1850;Antal bygninger;2008;3
Bydel - Østerbro;Før 1850;Antal bygninger;2009;3
Bydel - Østerbro;Før 1850;Antal bygninger;2010;3
Bydel - Østerbro;Før 1850;Antal bygninger;2011;3
Bydel - Østerbro;Før 1850;Antal bygninger;2012;3
Bydel - Østerbro;Før 1850;Antal bygninger;2013;3
Bydel - Østerbro;Før 1850;Antal bygninger;2014;3
Bydel - Østerbro;Før 1850;Antal bygninger;2015;3
Bydel - Østerbro;Før 1850;Antal bygninger;2016;3
Bydel - Østerbro;Før 1850;Antal bygninger;2017;3
Bydel - Østerbro;Før 1850;Antal bygninger;2018;101
Bydel - Østerbro;Før 1850;Antal bygninger;2019;111
Bydel - Østerbro;Før 1850;Antal bygninger;2020;112
Bydel - Østerbro;Før 1850;Antal bygninger;2021;115
Bydel - Østerbro;Før 1850;Antal bygninger;2022;115
Bydel - Østerbro;Før 1850;Antal bygninger;2023;115
Bydel - Nørrebro;Før 1850;Antal bygninger;1991;12
Bydel - Nørrebro;Før 1850;Antal bygninger;1992;10
Bydel - Nørrebro;Før 1850;Antal bygninger;1995;10
Bydel - Nørrebro;Før 1850;Antal bygninger;1996;10
Bydel - Nørrebro;Før 1850;Antal bygninger;1997;10
Bydel - Nørrebro;Før 1850;Antal bygninger;2001;10
Bydel - Nørrebro;Før 1850;Antal bygninger;2002;10
